,solver_status,Grid connection installed capacity,solving_time,12h battery installed capacity,solver_status_code,6h battery installed capacity,1h battery installed capacity,2h battery installed capacity,total_renewable_energy,run_id,net_profit_add_investment,return_on_add_investment,pv_cost,logfile,objective_result,battery_cost,filename_export,PV high DC ratio installed capacity,8h battery installed capacity,battery_reflux,4h battery installed capacity,Nordex N100 2500 installed capacity,PV low DC ratio installed capacity,curtailment,total_investment_cost,total_generation,relative_curtailment,total_installed_capacity,total_storage_energy,total_storage_power,ratio
1140,ok,10,20.84410285949707,0,0,0,0,0.0,47810.69400000004,220806_cablepooling_bothdcs,1.7990920150058152,0.09123184660272905,0.42,cablepooling_paper_exp_29585893516578.log,-0.3842580691339681,0.28267741935483875,cablepooling_paper_exp_29585893516578.json,0.0,0,0.0,0.0,10,11.199999999999998,4980.393999999999,19.72,52500.60120000038,9.48635612957507,21.199999999999996,0.0,0.0,>1
1141,ok,10,79.75931930541992,0,0,0,0,15.947995108907373,56279.55562500002,220806_cablepooling_bothdcs,2.040171134144206,0.0887286235830496,0.3716129032258064,cablepooling_paper_exp_13310936348750.log,-0.4727415414189595,0.06232258064516129,cablepooling_paper_exp_13310936348750.json,0.0,0,0.0,0.0,10,15.895833333333336,2585.085562984166,22.99338197481026,62935.80412500053,4.107495882391165,25.895833333333336,15.947995108907373,7.973997554453686,>1
1142,ok,10,69.01819396018982,0,0,0,0,26.530087999362713,69262.94211678831,220806_cablepooling_bothdcs,2.3111629210579223,0.092491251554376,0.27483870967741936,cablepooling_paper_exp_244568929050425.log,-0.6392301255412842,0.06232258064516129,cablepooling_paper_exp_244568929050425.json,0.0,0,0.0,4.179824001274564,10,23.0948905109489,3107.96909178438,24.98790839368417,78933.73616058467,3.9374407483530915,33.0948905109489,30.709912000637278,14.309999999999999,>1
1143,ok,10,40.489964723587036,0,0,0,0,0.0,57944.79336986294,220806_cablepooling_bothdcs,1.9891542815547743,0.10564546662726461,0.24258064516129033,cablepooling_paper_exp_28250399824531.log,-0.5985768366644717,0.1520967741935484,cablepooling_paper_exp_28250399824531.json,0.0,0,0.0,0.0,10,16.81917808219178,11987.527561643832,18.82858152894388,64987.68483287726,18.445844920419972,26.81917808219178,0.0,0.0,>1
1144,ok,10,78.47318696975708,0,0,0,0,1.326351737414523,49678.526817499784,220806_cablepooling_bothdcs,1.8531950437153786,0.09326465551973874,0.3796774193548387,cablepooling_paper_exp_67261164501248.log,-0.42633181290271005,0.10312903225806452,cablepooling_paper_exp_67261164501248.json,0.0,0,0.0,0.0,10,12.235680117811564,5288.793137552028,19.870282406427314,54802.11648548434,9.650709638108399,22.23568011781156,1.326351737414523,0.6631758687072615,>1
1145,ok,10,16.021268367767334,0,0,0,0,0.0,48169.41983606566,220806_cablepooling_bothdcs,1.8071389040549108,0.09169560732126256,0.4119354838709678,cablepooling_paper_exp_247502832491692.log,-0.3923696451171923,0.20106451612903226,cablepooling_paper_exp_247502832491692.json,0.0,0,0.0,0.0,10,11.398907103825133,5200.1993989070925,19.70802044773488,52942.6177377053,9.822331462094578,21.39890710382513,0.0,0.0,>1
1146,ok,10,47.612929344177246,0,0,0,0,30.656874977277006,77191.14033807184,220806_cablepooling_bothdcs,2.4560916872575156,0.09913160721805281,0.1941935483870968,cablepooling_paper_exp_2199687447110.log,-0.7633809903272344,0.07864516129032259,cablepooling_paper_exp_2199687447110.json,0.0,0,0.0,1.886250045445988,10,27.49093559106638,5807.764466895081,24.77607048027644,88702.74183479394,6.547446388649247,37.490935591066375,32.543125022723,15.8,>1
1147,ok,10,33.44482660293579,0,0,0,0,0.0,65260.20672597875,220806_cablepooling_bothdcs,2.0706342181453454,0.11019138957438031,0.1941935483870968,cablepooling_paper_exp_60180332482552.log,-0.6791884960360604,0.16841935483870968,cablepooling_paper_exp_60180332482552.json,0.0,0,0.0,0.0,10,20.875444839857646,17865.57679715307,18.79125243944438,74001.62628469817,24.142140780015882,30.875444839857646,0.0,0.0,>1
1148,ok,10,54.07495450973511,0,0,0,0,19.63319989295468,66085.95075090798,220806_cablepooling_bothdcs,2.300061475901127,0.09467694244596234,0.25870967741935486,cablepooling_paper_exp_27981858918640.log,-0.651022476146186,0.07048387096774195,cablepooling_paper_exp_27981858918640.json,16.121633420328433,0,0.0,2.029626779761101,10,1.4684729014626716,3189.4050477887386,24.293787024374506,30874.94866192589,10.330074011497297,11.468472901462672,21.66282667271578,10.324006641417615,<1
1149,ok,10,26.060308933258057,0,0,0,0,19.963119452930684,69122.3761016951,220806_cablepooling_bothdcs,2.315543276739123,0.08910619639160862,0.31516129032258067,cablepooling_paper_exp_68475692456169.log,-0.615137634063653,0.046,cablepooling_paper_exp_68475692456169.json,0.0,0,0.0,23.31850685685049,10,23.01694915254237,1996.5613408868146,25.986332831026317,78760.53284745835,2.534976934137444,33.01694915254237,43.281626309781174,15.811186440677965,>1
